timestamp,open_time,open,high,low,close,volume,close_time,q_av,trades,taker_buy_base,taker_buy_quote,ignore,price
2019-11-01,1572566400000,9149.88,9280.0,9050.27,9231.01,87256.949,1572652799999,798942104.65699,237247,43597.276,399260881.59083,0,9231.01
2020-01-07,1578355200000,7757.74,8215.33,7733.0,8152.49,280809.162,1578441599999,2233372067.10005,526402,140703.918,1119355459.7707,0,8152.49
2020-04-17,1587081600000,7098.15,7140.0,6981.0,7022.44,277339.601,1587167999999,1958075004.68818,815405,140468.709,991899745.51267,0,7022.44
2020-07-25,1595635200000,9539.7,9735.1,9526.31,9701.49,133377.589,1595721599999,1284993355.34513,517523,66055.303,636575410.24058,0,9701.49
2020-10-11,1602374400000,11294.78,11450.73,11273.77,11369.59,146323.076,1602460799999,1662984690.97067,587941,70072.329,796465960.35303,0,11369.59
2021-05-09,1620518400000,58926.36,59335.19,56316.0,58292.53,245954.014,1620604799999,14240035980.97883,2634641,119645.903,6927804257.57439,0,58292.53
2021-07-29,1627516800000,40003.08,40665.0,39203.83,40012.9,463917.872,1627603199999,18494873369.9317,4559744,233268.288,9302179707.59268,0,40012.9
2021-10-07,1633564800000,55327.45,55337.8,53374.34,53814.99,262974.545,1633651199999,14289443599.2762,3228490,129986.407,7064371239.00069,0,53814.99
2022-02-12,1644624000000,42365.99,42980.0,41540.0,42199.87,256269.325,1644710399999,10831014104.34159,2871604,128560.041,5435427212.76879,0,42199.87
2022-03-03,1646265600000,43885.8,44080.0,41831.0,42449.5,365565.832,1646351999999,15701873990.90735,3803308,178271.807,7658691829.64036,0,42449.5
2022-03-22,1647907200000,40982.0,43517.7,40852.0,42349.8,374297.674,1647993599999,15892694388.65686,3429191,190906.344,8106579947.45263,0,42349.8
2022-07-25,1658707200000,22570.6,22656.8,21232.0,21300.0,695770.655,1658793599999,15241930778.39496,5988694,339528.753,7440826220.76552,0,21300.0
2022-10-28,1666915200000,20285.6,20740.0,19951.0,20582.8,595538.882,1667001599999,12129765185.26634,3464429,297991.899,6071710763.19442,0,20582.8
2023-01-09,1673222400000,17124.6,17387.8,17098.2,17169.7,400277.809,1673308799999,6899176604.98138,1767631,200363.146,3453729372.60018,0,17169.7
2023-03-18,1679097600000,27383.9,27726.4,26555.5,26907.0,740232.316,1679183999999,20184491452.70674,6453518,362122.498,9877028394.80117,0,26907.0
2023-06-23,1687478400000,29875.0,31500.0,29792.0,30673.4,699073.071,1687564799999,21421175144.69206,6452824,356076.567,10913706651.31869,0,30673.4
2023-10-01,1696118400000,26951.0,28365.2,26939.0,27981.4,240382.946,1696204799999,6597423569.0926,2313010,128236.139,3521919101.10306,0,27981.4
2024-02-07,1707264000000,43079.1,44388.0,42763.4,44326.2,252057.708,1707350399999,10954644814.28782,2929944,130579.297,5675987977.2819,0,44326.2
2024-05-20,1716163200000,66239.4,71674.6,66010.0,71466.5,366028.078,1716249599999,25053653945.1351,4894781,191363.961,13104053064.9761,0,71466.5
2024-07-22,1721606400000,68138.0,68459.7,66538.6,67499.2,192991.391,1721692799999,13023877366.2714,2661310,94973.396,6409941420.0214,0,67499.2
2024-09-19,1726704000000,61735.3,63830.1,61534.0,62926.9,302382.412,1726790399999,18960165410.2846,3599751,154468.425,9685219302.7787,0,62926.9
2025-01-19,1737244800000,104524.3,106450.0,99600.0,101311.5,280949.178,1737331199999,29174848452.0504,5347056,139324.607,14473672517.5218,0,101311.5
2025-04-20,1745107200000,85046.9,85283.6,83900.0,85138.8,90651.818,1745193599999,7672458746.815,1426040,44964.07,3805208941.1624,0,85138.8
2025-07-01,1751328000000,107087.3,107499.9,105182.6,105637.9,120434.401,1751414399999,12798966761.0981,2043731,58611.964,6229056079.2177,0,105637.9
